Data Source,Data,Domain,Indicator,Metric,Date of First Pull ,Data Puller,Pulled Format,Ideas for AWS naming,Notes
United States Census Bureau: American Community Survey,Ambulatory Difficulty,Society & Economy,At risk communities,Ambulatory disability,10/27/2023,Jesse,.csv,society_acs_ambulatory,"-Metadata files included in folder
-Data filtered to CA tract"
United States Census Bureau: American Community Survey,Cognitive Difficulty,Society & Economy,At risk communities,Cognitive disability,10/27/2023,Jesse,.csv,society_acs_cognitive,"-Metadata files included in folder
-Data filtered to CA tract"
United States Census Bureau: American Community Survey,Demographic,Society & Economy,At risk communities,Age: Over 65,10/27/2023,Jesse,.csv,society_acs_demographic,"-Metadata files included in folder
-Data filtered to CA tract"
United States Census Bureau: American Community Survey,Demographic ,Society & Economy,At risk communities,Age: Under 5,10/27/2023,Jesse,.csv,society_acs_demographic,"-Metadata files included in folder
-Data filtered to CA tract"
United States Census Bureau: American Community Survey,Gini Index,Society & Economy,Economic health,Gini Index,10/27/2023,Jesse,.csv,society_acs_gini,"-Metadata files included in folder
-Data filtered to CA tract"
United States Census Bureau: American Community Survey,Median Income,Society & Economy,Economic health,Income,10/27/2023,Jesse,.csv,society_acs_income,"-Metadata files included in folder
-Data filtered to CA tract"
California Health Resources and Services Administration,Mental healthcare shortage,Society & Economy,Social services,Mental healthcare,11/1/2023,Jesse,.csv,society_hrsa_mental_shortage,has varying years within dataset
California Health Resources and Services Administration,Primary healthcare shortage,Society & Economy,Social services,Healthcare,11/1/2023,Jesse,.csv,society_hrsa_primary_shortage,has varying years within dataset
California Health Resources and Services Administration,Narcotic support services,Society & Economy,Social services,Substance abuse support,10/26/2023,Jesse,.csv,society_hsra_narcotic_support,different download source than primary and mental health shortage
California State Water Resources Control Board,Drinking water risk assessment,Society & Economy,At risk communities,,10/26/2023,Jesse,.csv,society_swcrb_water_risk,data dictionary in folder
California Office of Environmental Health Hazard Assessment: CalEnviroScreen 4.0,At risk communities,Society & Economy,At risk communities,,10/26/2023,Jesse,.xlsx,society_calenviroscreen_risk_communities,data dictionary in folder
California Department of Public Health: Climate Change and Health Vulnerability Indicators for California,"At risk communities - 
AC, violent crime, outdoor employment",Society & Economy,At risk communities,,10/26/2023,Jesse,.csv,society_cdph_risk_communities,data was queried to include just our 3 selected variables
United States Census Bureau: County Business Patterns ,Selected social services,Society & Economy,Social services,,10/27/2023,Jesse,.csv,society_census_business_social_services,data was queried to include just our selected variables
United States Department of Agriculture: Economic Research Service,Food accessibility,Society & Economy,At risk communities,,10/26/2023,Jesse,.xlsx,society_usda_food_accessibility,
California Employment Development Department,First responder employment,Governance,Emergency Response,,,,.txt,governance_edd_responder_employment,currently working on scraping data
United States Geological Service,Fire Stations,Governance,Emergency Response,,11/2/2023,Jesse,".csv, .shp, .xml",governance_usgs_fire_stations,
Federal Emergency Management Agency,Natonal household survey,Governance,Personal Preparedness,,10/26/2023,Jesse,.xlsx,governance_fema_household_survey,"codebook within data pulled, pdf's of additional info included within folder"
Federal Emergency Management Agency,Flood insurance policies,Governance,Personal Preparedness,,-,-,-,governance_fema_flood_policies,"very large file, not downloaded yet"
American Community Survey,Homeowner's insurance,Governance,Personal Preparedness,,10/27/2023,Jesse,.csv,governance_acs_homeowners_insurance,"metadata as a separate csv file in folder
data downloaded just California tracts"
Federal Emergency Management Agency,Emergency Management Performance Grants,Governance,Community Preparedness,,10/30/2023,Jesse,.csv,governance_fema_emergency_grants,data needs to be filtered to CA. Strange naming scheme for county column
Federal Emergency Management Agency,Hazard mitigation assistance project,Governance,Community Preparedness,,10/30/2023,Jesse,.csv,governance_fema_hazard_mitigation,data needs to be filtered to CA
Federal Emergency Management Agency,National Flood Insurance Policy Community Status,Governance,Community Preparedness,,10/30/2023,Jesse,.csv,governance_fema_communitiy_flood,data needs to be filtered to CA
California Department of Forestry and Fire Protection (CalFire),Fuel Reduction Projects,Governance,Community Preparedness,,10/30/2023,Jesse,all sorts of geo files,governance_calfire_fuel_reduction,has a read me txt file
California Natural Resources Agency,California protected areas database,Governance,Natural resource conservation,,10/30/2023,Jesse,all sorts of geo files (including .shp),governance_cnra_protected_areas,has pdf manual
California Department of Forestry and Fire Protection (CalFire),Timber Management Plans,Governance,Natural resource conservation,,10/30/2023,Jesse,".csv, .shp, and other geo files",governance_calfire_timber_management,has seemingly unique county abbreviations
United States Department of Agriculture,Forest to Faucets,Governance,Natural resource conservation,,10/30/2023,Jesse,all sorts of geo files,governance_usda_watershed_risk,has a readme pdf and data dictionary .docx
California State Water Resources Control Board,Aquifer Risk Map,Governance,Natural resource conservation,,11/1/2023,Jesse,.txt,governance_swcrb_aquifer_risk,"unsure how to download data, included txt file with links. the rest services link could be used to get the data on QGIS, but the github link suggests the data can be downloaded there, but all I see is methodology"
