File
year,state_code,state_abbreviation,county_code,county_name,commodity_code,commodity_name,insurance_plan_code,insurance_plan_abbreviation,stage_code,damage_cause_code,damage_description,determined_acres,indemnity_amount
1989,06,CA,001,Alameda,9999,All Other Crops,90,APH,0H,12,Heat,000000000052,
1989,06,CA,001,Alameda,9999,All Other Crops,90,APH,UH,12,Heat,000000006508,
1989,06,CA,007,Butte,0028,ALMONDS,90,APH,04,31,Excess Moisture/Precip/Rain,000000615897,
1989,06,CA,007,Butte,0028,ALMONDS,90,APH,0H,31,Excess Moisture/Precip/Rain,000001606100,
1989,06,CA,007,Butte,0028,ALMONDS,90,APH,0H,32,Poor Drainage,000000012866,
1989,06,CA,007,Butte,0028,ALMONDS,90,APH,0H,44,Cold Wet Weather,000000050063,
1989,06,CA,007,Butte,0029,WALNUTS,86,APH,04,12,Heat,000000015029,
1989,06,CA,007,Butte,0029,WALNUTS,86,APH,0H,12,Heat,000000002442,
1989,06,CA,007,Butte,0029,WALNUTS,86,APH,0H,31,Excess Moisture/Precip/Rain,000000031817,
1989,06,CA,007,Butte,0036,PRUNES,86,APH,04,12,Heat,000000003400,
1989,06,CA,007,Butte,0036,PRUNES,86,APH,0H,12,Heat,000000002100,
1989,06,CA,007,Butte,0036,PRUNES,86,APH,0H,41,Frost,000000048600,
1989,06,CA,007,Butte,0077,STONEFRUIT,86,APH,0H,12,Heat,000000004884,
1989,06,CA,011,Colusa,0011,WHEAT,90,APH,UH,93,Wildlife,000000020082,
1989,06,CA,011,Colusa,0028,ALMONDS,90,APH,04,31,Excess Moisture/Precip/Rain,000000010628,
1989,06,CA,011,Colusa,0028,ALMONDS,90,APH,0H,31,Excess Moisture/Precip/Rain,000000122417,
1989,06,CA,011,Colusa,0039,SUGAR BEETS,90,APH,02,12,Heat,000000059035,
1989,06,CA,011,Colusa,0047,DRY BEANS,90,APH,0H,31,Excess Moisture/Precip/Rain,000000009332,
1989,06,CA,011,Colusa,0047,DRY BEANS,90,APH,UH,31,Excess Moisture/Precip/Rain,000000008388,
1989,06,CA,011,Colusa,0087,TOMATOES,86,APH,01,31,Excess Moisture/Precip/Rain,000000005535,
1989,06,CA,011,Colusa,0087,TOMATOES,86,APH,02,31,Excess Moisture/Precip/Rain,000000184922,
1989,06,CA,011,Colusa,0087,TOMATOES,86,APH,03,31,Excess Moisture/Precip/Rain,000000031392,
1989,06,CA,011,Colusa,0087,TOMATOES,86,APH,03,62,Hot Wind,000000080312,
1989,06,CA,019,Fresno,0011,WHEAT,90,APH,0H,12,Heat,000000006198,
1989,06,CA,019,Fresno,0011,WHEAT,90,APH,UH,12,Heat,000000001962,
1989,06,CA,019,Fresno,0028,ALMONDS,90,APH,04,00,,000000022699,
1989,06,CA,019,Fresno,0028,ALMONDS,90,APH,04,12,Heat,000000009114,
1989,06,CA,019,Fresno,0028,ALMONDS,90,APH,04,31,Excess Moisture/Precip/Rain,000000016909,
1989,06,CA,019,Fresno,0028,ALMONDS,90,APH,0H,21,Hail,000000020840,
