NAME,B01002_001E,B01002_001EA,B01002_001M,B01002_001MA,B01002_002E,B01002_002EA,B01002_002M,B01002_002MA,B01002_003E,B01002_003EA,B01002_003M,B01002_003MA,state
Alabama,39.3,,0.1,,38.0,,0.1,,40.5,,0.1,,01
Alaska,35.0,,0.1,,34.6,,0.1,,35.4,,0.2,,02
Arizona,38.1,,0.1,,37.0,,0.1,,39.3,,0.1,,04
Arkansas,38.3,,0.1,,37.2,,0.2,,39.5,,0.2,,05
California,37.0,,0.1,,36.0,,0.1,,38.0,,0.1,,06
Colorado,37.1,,0.1,,36.4,,0.2,,37.9,,0.1,,08
Connecticut,41.0,,0.1,,39.5,,0.1,,42.4,,0.1,,09
Delaware,41.1,,0.3,,39.4,,0.2,,42.8,,0.2,,10
District of Columbia,34.3,,0.2,,34.3,,0.1,,34.4,,0.1,,11
Florida,42.3,,0.2,,40.9,,0.1,,43.6,,0.1,,12
Georgia,37.1,,0.1,,35.9,,0.1,,38.2,,0.1,,13
Hawaii,39.6,,0.1,,38.3,,0.2,,40.9,,0.2,,15
Idaho,36.8,,0.1,,36.2,,0.1,,37.4,,0.2,,16
Illinois,38.5,,0.2,,37.4,,0.1,,39.5,,0.1,,17
Indiana,37.9,,0.2,,36.8,,0.1,,38.9,,0.1,,18
Iowa,38.3,,0.2,,37.4,,0.1,,39.2,,0.2,,19
Kansas,37.0,,0.2,,36.0,,0.1,,38.1,,0.1,,20
Kentucky,39.0,,0.1,,37.8,,0.2,,40.2,,0.1,,21
Louisiana,37.4,,0.1,,36.3,,0.1,,38.5,,0.1,,22
Maine,44.7,,0.1,,43.5,,0.2,,46.0,,0.1,,23
Maryland,38.9,,0.1,,37.6,,0.2,,40.2,,0.1,,24
Massachusetts,39.6,,0.1,,38.4,,0.2,,40.8,,0.2,,25
Michigan,39.8,,0.1,,38.6,,0.1,,41.0,,0.1,,26
Minnesota,38.2,,0.1,,37.5,,0.1,,38.9,,0.2,,27
Mississippi,37.8,,0.2,,36.5,,0.1,,39.0,,0.2,,28
Missouri,38.8,,0.2,,37.6,,0.1,,40.0,,0.2,,29
Montana,40.0,,0.2,,39.2,,0.2,,40.8,,0.2,,30
Nebraska,36.7,,0.1,,35.9,,0.2,,37.5,,0.2,,31
Nevada,38.3,,0.2,,37.8,,0.1,,38.9,,0.1,,32
New Hampshire,43.0,,0.1,,41.9,,0.2,,44.1,,0.1,,33
New Jersey,40.0,,0.1,,38.7,,0.1,,41.3,,0.1,,34
New Mexico,38.3,,0.2,,37.1,,0.2,,39.6,,0.2,,35
New York,39.2,,0.1,,37.9,,0.1,,40.4,,0.2,,36
North Carolina,39.0,,0.1,,37.6,,0.1,,40.3,,0.1,,37
North Dakota,35.2,,0.2,,34.6,,0.1,,36.1,,0.2,,38
Ohio,39.4,,0.1,,38.2,,0.1,,40.6,,0.1,,39
Oklahoma,36.8,,0.1,,35.8,,0.1,,37.8,,0.1,,40
Oregon,39.6,,0.1,,38.8,,0.1,,40.5,,0.1,,41
Pennsylvania,40.8,,0.1,,39.5,,0.2,,42.2,,0.1,,42
Rhode Island,40.0,,0.2,,38.5,,0.2,,41.4,,0.2,,44
South Carolina,39.8,,0.1,,38.5,,0.2,,41.0,,0.2,,45
South Dakota,37.1,,0.2,,36.5,,0.2,,37.9,,0.2,,46
Tennessee,38.8,,0.1,,37.7,,0.2,,39.9,,0.1,,47
Texas,35.0,,0.1,,34.2,,0.1,,35.8,,0.1,,48
Utah,31.3,,0.1,,30.8,,0.1,,31.8,,0.1,,49
Vermont,42.7,,0.2,,41.3,,0.2,,43.9,,0.2,,50
Virginia,38.5,,0.1,,37.4,,0.1,,39.6,,0.1,,51
Washington,37.9,,0.1,,37.0,,0.1,,38.8,,0.2,,53
West Virginia,42.6,,0.1,,41.4,,0.2,,44.0,,0.1,,54
Wisconsin,39.6,,0.2,,38.8,,0.1,,40.5,,0.2,,55
Wyoming,38.2,,0.2,,37.8,,0.3,,38.7,,0.3,,56
Puerto Rico,43.1,,0.1,,41.2,,0.1,,44.8,,0.1,,72
