Data Source,Data,Domain,Indicator,Metric,High value result (vulnerable or resilient),Metric file name,Metric Calculated (Y/N),Metadata Finalized (Y/N),Metric Calculator,Metric goes into what indicator,Includes Indigenous Tribes,Notes
California Public Utilities Commission,Broadband Internet Availability,Built Environment,Communication,% of area unserved at broadband speeds of >25 mpbs download and >3 mbps upload,vulnerable,built_broadband_internet_metric.csv,Y,Y,Jesse Espinoza,built_indicator_communication_infrastructure,,
Homeland Infrastructure Foundation-Level Data,TV broadcast contours,Built Environment,Communication,# of broadcast service providers,resilient,built_tv_contours_metric.csv,Y,Y,Jesse Espinoza,built_indicator_communication_infrastructure,,
Homeland Infrastructure Foundation-Level Data,Radio transmission towers,Built Environment,Communication,# of radio transmission towers,resilient,built_radio_towers_metric.csv,Y,Y,Jesse Espinoza,built_indicator_communication_infrastructure,,
Homeland Infrastructure Foundation-Level Data,Cellular towers,Built Environment,Communication,# of cellular towers,resilient,built_cellular_towers_metric.csv,Y,Y,Jesse Espinoza,built_indicator_communication_infrastructure,,
Homeland Infrastructure Foundation-Level Data,Microwave service towers,Built Environment,Communication,# of microwave service towers,resilient,built_microwave_towers_metric.csv,Y,Y,Jesse Espinoza,built_indicator_communication_infrastructure,,
Homeland Infrastructure Foundation-Level Data,Paging transmission towers,Built Environment,Communication,# of paging transmission towers,resilient,built_paging_towers_metric.csv,Y,Y,Jesse Espinoza,built_indicator_communication_infrastructure,,
Homeland Infrastructure Foundation-Level Data,Land mobile broadcast towers,Built Environment,Communication,# of mobile broadcast towers,resilient,built_mobile_towers_metric.csv,Y,Y,Jesse Espinoza,built_indicator_communication_infrastructure,,
United States Census Bureau: American Community Survey,Housing vacancy,Built Environment,Housing vacancy and quality,# of vacant homes under ownership,vulnerable,built_metric_housing_vacancy_metric.csv,Y,Y,Jesse Espinoza,built_indicator_housing_vacancy_quality,,
United States Census Bureau: American Community Survey,Housing age,Built Environment,Housing vacancy and quality,% of homes built before 1980,vulnerable,built_housing_before_1980_metric.csv,Y,Y,Jesse Espinoza,built_indicator_housing_vacancy_quality,,
United States Census Bureau: American Community Survey,Housing quality,Built Environment,Housing vacancy and quality,% of homes lacking complete kitchen or plumbing facilities,vulnerable,built_housing_quality_metric.csv,Y,Y,Jesse Espinoza,built_indicator_housing_vacancy_quality,,
